agent_id,hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,soh,action,energy_kwh,price_per_kwh,cost_currency
1,0,0,0,Daily Charger,V0,home,True,0.9608,0.999991,CHARGE,7.0,0.53,3.71
1,1,1,0,Daily Charger,V0,home,True,0.998,0.999986,CHARGE,2.35,0.53,1.2455
1,2,2,0,Daily Charger,V0,home,True,0.9999,0.999983,CHARGE,0.1175,0.53,0.0623
1,3,3,0,Daily Charger,V0,home,True,1.0,0.99998,CHARGE,0.0059,0.53,0.0031
1,4,4,0,Daily Charger,V0,home,True,1.0,0.999978,CHARGE,0.0003,0.53,0.0002
1,5,5,0,Daily Charger,V0,home,True,1.0,0.999975,CHARGE,0.0,0.53,0.0
1,6,6,0,Daily Charger,V0,home,True,1.0,0.999972,CHARGE,0.0,0.53,0.0
1,7,7,0,Daily Charger,V0,home,True,1.0,0.999969,CHARGE,0.0,0.85,0.0
1,8,8,0,Daily Charger,V0,driving,False,0.9701,0.999967,DRIVING,0.0,0.85,0.0
1,9,9,0,Daily Charger,V0,work,False,0.9701,0.999964,IDLE,0.0,0.85,0.0
1,10,10,0,Daily Charger,V0,work,False,0.9701,0.999961,IDLE,0.0,0.85,0.0
1,11,11,0,Daily Charger,V0,work,False,0.9701,0.999958,IDLE,0.0,0.85,0.0
1,12,12,0,Daily Charger,V0,work,False,0.9701,0.999956,IDLE,0.0,0.85,0.0
1,13,13,0,Daily Charger,V0,work,False,0.9701,0.999953,IDLE,0.0,0.85,0.0
1,14,14,0,Daily Charger,V0,work,False,0.9701,0.99995,IDLE,0.0,0.85,0.0
1,15,15,0,Daily Charger,V0,work,False,0.9701,0.999948,IDLE,0.0,0.85,0.0
1,16,16,0,Daily Charger,V0,driving,False,0.9402,0.999945,DRIVING,0.0,0.85,0.0
1,17,17,0,Daily Charger,V0,home,True,0.997,0.999939,CHARGE,3.5852,1.69,6.059
1,18,18,0,Daily Charger,V0,home,True,0.9999,0.999936,CHARGE,0.1793,1.69,0.3029
