agent_id,hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,soh,action,energy_kwh,price_per_kwh,cost_currency
1,0,0,0,Daily Charger,V2G,home,True,0.9364,0.999991,CHARGE,7.0,0.53,3.71
1,1,1,0,Daily Charger,V2G,home,True,0.9364,0.999988,IDLE,0.0,0.53,0.0
1,2,2,0,Daily Charger,V2G,home,True,0.9364,0.999985,IDLE,0.0,0.53,0.0
1,3,3,0,Daily Charger,V2G,home,True,0.9364,0.999983,IDLE,0.0,0.53,0.0
1,4,4,0,Daily Charger,V2G,home,True,0.9364,0.99998,IDLE,0.0,0.53,0.0
1,5,5,0,Daily Charger,V2G,home,True,0.9364,0.999977,IDLE,0.0,0.53,0.0
1,6,6,0,Daily Charger,V2G,home,True,0.9364,0.999975,IDLE,0.0,0.53,0.0
1,7,7,0,Daily Charger,V2G,home,True,0.9364,0.999972,IDLE,0.0,0.85,0.0
1,8,8,0,Daily Charger,V2G,driving,False,0.899,0.99997,DRIVING,0.0,0.85,0.0
1,9,9,0,Daily Charger,V2G,work,False,0.899,0.999967,IDLE,0.0,0.85,0.0
1,10,10,0,Daily Charger,V2G,work,False,0.899,0.999964,IDLE,0.0,0.85,0.0
1,11,11,0,Daily Charger,V2G,work,False,0.899,0.999962,IDLE,0.0,0.85,0.0
1,12,12,0,Daily Charger,V2G,work,False,0.899,0.999959,IDLE,0.0,0.85,0.0
1,13,13,0,Daily Charger,V2G,work,False,0.899,0.999956,IDLE,0.0,0.85,0.0
1,14,14,0,Daily Charger,V2G,work,False,0.899,0.999954,IDLE,0.0,0.85,0.0
1,15,15,0,Daily Charger,V2G,work,False,0.899,0.999951,IDLE,0.0,0.85,0.0
1,16,16,0,Daily Charger,V2G,work,False,0.899,0.999949,IDLE,0.0,0.85,0.0
1,17,17,0,Daily Charger,V2G,driving,False,0.8617,0.999946,DRIVING,0.0,1.69,0.0
1,18,18,0,Daily Charger,V2G,home,True,0.737,0.999935,DISCHARGE,-9.12,1.69,-11.5596
1,19,19,0,Daily Charger,V2G,home,True,0.6123,0.999924,DISCHARGE,-9.12,1.69,-11.5596
1,20,20,0,Daily Charger,V2G,home,True,0.5,0.999914,DISCHARGE,-8.2162,1.69,-10.414
1,21,21,0,Daily Charger,V2G,home,True,0.5,0.999912,IDLE,0.0,1.69,0.0
1,22,22,0,Daily Charger,V2G,home,True,0.5,0.99991,IDLE,0.0,1.69,0.0
1,23,23,0,Daily Charger,V2G,home,True,0.5864,0.999901,CHARGE,7.0,0.53,3.71
1,24,0,1,Daily Charger,V2G,home,True,0.6727,0.999892,CHARGE,7.0,0.53,3.71
1,25,1,1,Daily Charger,V2G,home,True,0.7591,0.999883,CHARGE,7.0,0.53,3.71
1,26,2,1,Daily Charger,V2G,home,True,0.8455,0.999874,CHARGE,7.0,0.53,3.71
1,27,3,1,Daily Charger,V2G,home,True,0.9319,0.999865,CHARGE,7.0,0.53,3.71
1,28,4,1,Daily Charger,V2G,home,True,0.9319,0.999862,IDLE,0.0,0.53,0.0
1,29,5,1,Daily Charger,V2G,home,True,0.9319,0.99986,IDLE,0.0,0.53,0.0
1,30,6,1,Daily Charger,V2G,home,True,0.9319,0.999857,IDLE,0.0,0.53,0.0
1,31,7,1,Daily Charger,V2G,home,True,0.9319,0.999854,IDLE,0.0,0.85,0.0
1,32,8,1,Daily Charger,V2G,home,True,0.9319,0.999852,IDLE,0.0,0.85,0.0
1,33,9,1,Daily Charger,V2G,home,True,0.9319,0.999849,IDLE,0.0,0.85,0.0
1,34,10,1,Daily Charger,V2G,home,True,0.9319,0.999846,IDLE,0.0,0.85,0.0
1,35,11,1,Daily Charger,V2G,home,True,0.9319,0.999844,IDLE,0.0,0.85,0.0
1,36,12,1,Daily Charger,V2G,home,True,0.9319,0.999841,IDLE,0.0,0.85,0.0
1,37,13,1,Daily Charger,V2G,home,True,0.9319,0.999838,IDLE,0.0,0.85,0.0
1,38,14,1,Daily Charger,V2G,home,True,0.9319,0.999836,IDLE,0.0,0.85,0.0
1,39,15,1,Daily Charger,V2G,home,True,0.9319,0.999833,IDLE,0.0,0.85,0.0
1,40,16,1,Daily Charger,V2G,home,True,0.9319,0.99983,IDLE,0.0,0.85,0.0
1,41,17,1,Daily Charger,V2G,home,True,0.8072,0.999819,DISCHARGE,-9.12,1.69,-11.5596
