agent_id,hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,soh,action,energy_kwh,price_per_kwh,cost_currency
1001,0,0,0,Public Charger,V1G,home,False,0.8,0.999997,IDLE,0.0,0.53,0.0
1001,1,1,0,Public Charger,V1G,home,False,0.8,0.999995,IDLE,0.0,0.53,0.0
1001,2,2,0,Public Charger,V1G,home,False,0.8,0.999992,IDLE,0.0,0.53,0.0
1001,3,3,0,Public Charger,V1G,home,False,0.8,0.99999,IDLE,0.0,0.53,0.0
1001,4,4,0,Public Charger,V1G,home,False,0.8,0.999987,IDLE,0.0,0.53,0.0
1001,5,5,0,Public Charger,V1G,home,False,0.8,0.999985,IDLE,0.0,0.53,0.0
1001,6,6,0,Public Charger,V1G,home,False,0.8,0.999982,IDLE,0.0,0.53,0.0
1001,7,7,0,Public Charger,V1G,driving,False,0.7704,0.99998,DRIVING,0.0,0.85,0.0
1001,8,8,0,Public Charger,V1G,work,True,0.7704,0.999977,IDLE,0.0,0.85,0.0
1001,9,9,0,Public Charger,V1G,work,True,0.7704,0.999975,IDLE,0.0,0.85,0.0
1001,10,10,0,Public Charger,V1G,work,True,0.7704,0.999973,IDLE,0.0,0.85,0.0
1001,11,11,0,Public Charger,V1G,work,True,0.7704,0.99997,IDLE,0.0,0.85,0.0
1001,12,12,0,Public Charger,V1G,work,True,0.7704,0.999968,IDLE,0.0,0.85,0.0
1001,13,13,0,Public Charger,V1G,work,True,0.7704,0.999965,IDLE,0.0,0.85,0.0
1001,14,14,0,Public Charger,V1G,work,True,0.7704,0.999963,IDLE,0.0,0.85,0.0
1001,15,15,0,Public Charger,V1G,work,True,0.7704,0.99996,IDLE,0.0,0.85,0.0
1001,16,16,0,Public Charger,V1G,work,True,0.7704,0.999958,IDLE,0.0,0.85,0.0
1001,17,17,0,Public Charger,V1G,work,True,0.7704,0.999955,IDLE,0.0,1.69,0.0
1001,18,18,0,Public Charger,V1G,driving,False,0.7408,0.999953,DRIVING,0.0,1.69,0.0
1001,19,19,0,Public Charger,V1G,home,False,0.7408,0.99995,IDLE,0.0,1.69,0.0
1001,20,20,0,Public Charger,V1G,home,False,0.7408,0.999948,IDLE,0.0,1.69,0.0
1001,21,21,0,Public Charger,V1G,home,False,0.7408,0.999945,IDLE,0.0,1.69,0.0
1001,22,22,0,Public Charger,V1G,home,False,0.7408,0.999943,IDLE,0.0,1.69,0.0
1001,23,23,0,Public Charger,V1G,home,False,0.7408,0.999941,IDLE,0.0,0.53,0.0
1001,24,0,1,Public Charger,V1G,home,False,0.7408,0.999938,IDLE,0.0,0.53,0.0
1001,25,1,1,Public Charger,V1G,home,False,0.7408,0.999936,IDLE,0.0,0.53,0.0
1001,26,2,1,Public Charger,V1G,home,False,0.7408,0.999933,IDLE,0.0,0.53,0.0
1001,27,3,1,Public Charger,V1G,home,False,0.7408,0.999931,IDLE,0.0,0.53,0.0
1001,28,4,1,Public Charger,V1G,home,False,0.7408,0.999928,IDLE,0.0,0.53,0.0
1001,29,5,1,Public Charger,V1G,home,False,0.7408,0.999926,IDLE,0.0,0.53,0.0
1001,30,6,1,Public Charger,V1G,home,False,0.7408,0.999923,IDLE,0.0,0.53,0.0
1001,31,7,1,Public Charger,V1G,driving,False,0.7164,0.999921,DRIVING,0.0,0.85,0.0
1001,32,8,1,Public Charger,V1G,work,True,0.7995,0.999912,CHARGE,7.0,0.85,5.95
1001,33,9,1,Public Charger,V1G,work,True,0.7995,0.999909,IDLE,0.0,0.85,0.0
1001,34,10,1,Public Charger,V1G,work,True,0.7995,0.999907,IDLE,0.0,0.85,0.0
1001,35,11,1,Public Charger,V1G,work,True,0.7995,0.999904,IDLE,0.0,0.85,0.0
1001,36,12,1,Public Charger,V1G,work,True,0.7995,0.999902,IDLE,0.0,0.85,0.0
1001,37,13,1,Public Charger,V1G,work,True,0.7995,0.999899,IDLE,0.0,0.85,0.0
1001,38,14,1,Public Charger,V1G,work,True,0.7995,0.999897,IDLE,0.0,0.85,0.0
1001,39,15,1,Public Charger,V1G,work,True,0.7995,0.999894,IDLE,0.0,0.85,0.0
1001,40,16,1,Public Charger,V1G,work,True,0.7995,0.999892,IDLE,0.0,0.85,0.0
1001,41,17,1,Public Charger,V1G,work,True,0.7995,0.999889,IDLE,0.0,1.69,0.0
1001,42,18,1,Public Charger,V1G,driving,False,0.7751,0.999887,DRIVING,0.0,1.69,0.0
1001,43,19,1,Public Charger,V1G,home,False,0.7751,0.999884,IDLE,0.0,1.69,0.0
1001,44,20,1,Public Charger,V1G,home,False,0.7751,0.999882,IDLE,0.0,1.69,0.0
1001,45,21,1,Public Charger,V1G,home,False,0.7751,0.999879,IDLE,0.0,1.69,0.0
1001,46,22,1,Public Charger,V1G,home,False,0.7751,0.999877,IDLE,0.0,1.69,0.0
1001,47,23,1,Public Charger,V1G,home,False,0.7751,0.999874,IDLE,0.0,0.53,0.0
1001,48,0,2,Public Charger,V1G,home,False,0.7751,0.999872,IDLE,0.0,0.53,0.0
1001,49,1,2,Public Charger,V1G,home,False,0.7751,0.999869,IDLE,0.0,0.53,0.0
1001,50,2,2,Public Charger,V1G,home,False,0.7751,0.999867,IDLE,0.0,0.53,0.0
1001,51,3,2,Public Charger,V1G,home,False,0.7751,0.999865,IDLE,0.0,0.53,0.0
1001,52,4,2,Public Charger,V1G,home,False,0.7751,0.999862,IDLE,0.0,0.53,0.0
1001,53,5,2,Public Charger,V1G,home,False,0.7751,0.99986,IDLE,0.0,0.53,0.0
1001,54,6,2,Public Charger,V1G,home,False,0.7751,0.999857,IDLE,0.0,0.53,0.0
1001,55,7,2,Public Charger,V1G,driving,False,0.7255,0.999855,DRIVING,0.0,0.85,0.0
1001,56,8,2,Public Charger,V1G,work,True,0.8086,0.999846,CHARGE,7.0,0.85,5.95
1001,57,9,2,Public Charger,V1G,work,True,0.8086,0.999843,IDLE,0.0,0.85,0.0
1001,58,10,2,Public Charger,V1G,work,True,0.8086,0.999841,IDLE,0.0,0.85,0.0
1001,59,11,2,Public Charger,V1G,work,True,0.8086,0.999838,IDLE,0.0,0.85,0.0
1001,60,12,2,Public Charger,V1G,work,True,0.8086,0.999835,IDLE,0.0,0.85,0.0
1001,61,13,2,Public Charger,V1G,work,True,0.8086,0.999833,IDLE,0.0,0.85,0.0
1001,62,14,2,Public Charger,V1G,work,True,0.8086,0.99983,IDLE,0.0,0.85,0.0
1001,63,15,2,Public Charger,V1G,work,True,0.8086,0.999828,IDLE,0.0,0.85,0.0
1001,64,16,2,Public Charger,V1G,work,True,0.8086,0.999825,IDLE,0.0,0.85,0.0
1001,65,17,2,Public Charger,V1G,work,True,0.8086,0.999823,IDLE,0.0,1.69,0.0
1001,66,18,2,Public Charger,V1G,driving,False,0.759,0.99982,DRIVING,0.0,1.69,0.0
1001,67,19,2,Public Charger,V1G,home,False,0.759,0.999818,IDLE,0.0,1.69,0.0
1001,68,20,2,Public Charger,V1G,home,False,0.759,0.999815,IDLE,0.0,1.69,0.0
1001,69,21,2,Public Charger,V1G,home,False,0.759,0.999813,IDLE,0.0,1.69,0.0
1001,70,22,2,Public Charger,V1G,home,False,0.759,0.999811,IDLE,0.0,1.69,0.0
1001,71,23,2,Public Charger,V1G,home,False,0.759,0.999808,IDLE,0.0,0.53,0.0
