hour,hour_of_day,day_of_week,typology,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
0,0,0,Threshold Charger,V0,home,True,0.8108,CHARGE,7.0,0.53,3.71
1,1,0,Threshold Charger,V0,home,True,0.9217,CHARGE,7.0,0.53,3.71
2,2,0,Threshold Charger,V0,home,True,0.9961,CHARGE,4.7,0.53,2.491
3,3,0,Threshold Charger,V0,home,True,0.9998,CHARGE,0.235,0.53,0.1246
4,4,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0117,0.53,0.0062
5,5,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0006,0.53,0.0003
6,6,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
7,7,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.85,0.0
8,8,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.85,0.0
9,9,0,Threshold Charger,V0,driving,False,0.9475,DRIVING,0.0,0.85,0.0
10,10,0,Threshold Charger,V0,work,False,0.9475,IDLE,0.0,0.85,0.0
11,11,0,Threshold Charger,V0,work,False,0.9475,IDLE,0.0,0.85,0.0
12,12,0,Threshold Charger,V0,work,False,0.9475,IDLE,0.0,0.85,0.0
13,13,0,Threshold Charger,V0,work,False,0.9475,IDLE,0.0,0.85,0.0
14,14,0,Threshold Charger,V0,work,False,0.9475,IDLE,0.0,0.85,0.0
15,15,0,Threshold Charger,V0,work,False,0.9475,IDLE,0.0,0.85,0.0
16,16,0,Threshold Charger,V0,driving,False,0.895,DRIVING,0.0,0.85,0.0
17,17,0,Threshold Charger,V0,home,True,0.9948,CHARGE,6.2989,1.69,10.6452
18,18,0,Threshold Charger,V0,home,True,0.9997,CHARGE,0.3149,1.69,0.5323
19,19,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0157,1.69,0.0266
20,20,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0008,1.69,0.0013
21,21,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0001
22,22,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,1.69,0.0
23,23,0,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
24,0,1,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
25,1,1,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
26,2,1,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
27,3,1,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
28,4,1,Threshold Charger,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
29,5,1,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
30,6,1,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.53,0.0
31,7,1,Threshold Charger,V0,home,True,1.0,IDLE,0.0,0.85,0.0
