hour,hour_of_day,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
0,0,V0,home,True,0.9108,CHARGE,7.0,0.53,3.71
1,1,V0,home,True,0.9955,CHARGE,5.35,0.53,2.8355
2,2,V0,home,True,0.9998,CHARGE,0.2675,0.53,0.1418
3,3,V0,home,True,1.0,CHARGE,0.0134,0.53,0.0071
4,4,V0,home,True,1.0,CHARGE,0.0007,0.53,0.0004
5,5,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
6,6,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
7,7,V0,home,True,1.0,CHARGE,0.0,0.85,0.0
8,8,V0,driving,False,0.94,DRIVING,0.0,0.85,0.0
9,9,V0,work,False,0.94,IDLE,0.0,0.85,0.0
10,10,V0,work,False,0.94,IDLE,0.0,0.85,0.0
11,11,V0,work,False,0.94,IDLE,0.0,0.85,0.0
12,12,V0,work,False,0.94,IDLE,0.0,0.85,0.0
13,13,V0,work,False,0.94,IDLE,0.0,0.85,0.0
14,14,V0,work,False,0.94,IDLE,0.0,0.85,0.0
15,15,V0,work,False,0.94,IDLE,0.0,0.85,0.0
16,16,V0,work,False,0.94,IDLE,0.0,0.85,0.0
17,17,V0,driving,False,0.88,DRIVING,0.0,1.69,0.0
18,18,V0,home,True,0.9908,CHARGE,7.0,1.69,11.83
19,19,V0,home,True,0.9995,CHARGE,0.55,1.69,0.9295
20,20,V0,home,True,1.0,CHARGE,0.0275,1.69,0.0465
21,21,V0,home,True,1.0,CHARGE,0.0014,1.69,0.0023
22,22,V0,home,True,1.0,CHARGE,0.0001,1.69,0.0001
23,23,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
24,0,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
25,1,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
26,2,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
27,3,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
28,4,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
29,5,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
30,6,V0,home,True,1.0,IDLE,0.0,0.53,0.0
31,7,V0,home,True,1.0,IDLE,0.0,0.85,0.0
32,8,V0,driving,False,0.94,DRIVING,0.0,0.85,0.0
33,9,V0,work,False,0.94,IDLE,0.0,0.85,0.0
34,10,V0,work,False,0.94,IDLE,0.0,0.85,0.0
35,11,V0,work,False,0.94,IDLE,0.0,0.85,0.0
36,12,V0,work,False,0.94,IDLE,0.0,0.85,0.0
37,13,V0,work,False,0.94,IDLE,0.0,0.85,0.0
38,14,V0,work,False,0.94,IDLE,0.0,0.85,0.0
39,15,V0,work,False,0.94,IDLE,0.0,0.85,0.0
40,16,V0,work,False,0.94,IDLE,0.0,0.85,0.0
41,17,V0,driving,False,0.88,DRIVING,0.0,1.69,0.0
42,18,V0,home,True,0.9908,CHARGE,7.0,1.69,11.83
43,19,V0,home,True,0.9995,CHARGE,0.55,1.69,0.9295
44,20,V0,home,True,1.0,CHARGE,0.0275,1.69,0.0465
45,21,V0,home,True,1.0,CHARGE,0.0014,1.69,0.0023
46,22,V0,home,True,1.0,CHARGE,0.0001,1.69,0.0001
47,23,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
48,0,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
49,1,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
50,2,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
51,3,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
52,4,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
53,5,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
54,6,V0,home,True,1.0,IDLE,0.0,0.53,0.0
55,7,V0,home,True,1.0,IDLE,0.0,0.85,0.0
56,8,V0,driving,False,0.94,DRIVING,0.0,0.85,0.0
57,9,V0,work,False,0.94,IDLE,0.0,0.85,0.0
58,10,V0,work,False,0.94,IDLE,0.0,0.85,0.0
59,11,V0,work,False,0.94,IDLE,0.0,0.85,0.0
60,12,V0,work,False,0.94,IDLE,0.0,0.85,0.0
61,13,V0,work,False,0.94,IDLE,0.0,0.85,0.0
62,14,V0,work,False,0.94,IDLE,0.0,0.85,0.0
63,15,V0,work,False,0.94,IDLE,0.0,0.85,0.0
64,16,V0,work,False,0.94,IDLE,0.0,0.85,0.0
65,17,V0,driving,False,0.88,DRIVING,0.0,1.69,0.0
66,18,V0,home,True,0.9908,CHARGE,7.0,1.69,11.83
67,19,V0,home,True,0.9995,CHARGE,0.55,1.69,0.9295
68,20,V0,home,True,1.0,CHARGE,0.0275,1.69,0.0465
69,21,V0,home,True,1.0,CHARGE,0.0014,1.69,0.0023
70,22,V0,home,True,1.0,CHARGE,0.0001,1.69,0.0001
71,23,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
72,0,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
73,1,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
74,2,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
75,3,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
76,4,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
77,5,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
78,6,V0,home,True,1.0,IDLE,0.0,0.53,0.0
79,7,V0,home,True,1.0,IDLE,0.0,0.85,0.0
80,8,V0,driving,False,0.94,DRIVING,0.0,0.85,0.0
81,9,V0,work,False,0.94,IDLE,0.0,0.85,0.0
82,10,V0,work,False,0.94,IDLE,0.0,0.85,0.0
83,11,V0,work,False,0.94,IDLE,0.0,0.85,0.0
84,12,V0,work,False,0.94,IDLE,0.0,0.85,0.0
85,13,V0,work,False,0.94,IDLE,0.0,0.85,0.0
86,14,V0,work,False,0.94,IDLE,0.0,0.85,0.0
87,15,V0,work,False,0.94,IDLE,0.0,0.85,0.0
88,16,V0,work,False,0.94,IDLE,0.0,0.85,0.0
89,17,V0,driving,False,0.88,DRIVING,0.0,1.69,0.0
90,18,V0,home,True,0.9908,CHARGE,7.0,1.69,11.83
91,19,V0,home,True,0.9995,CHARGE,0.55,1.69,0.9295
92,20,V0,home,True,1.0,CHARGE,0.0275,1.69,0.0465
93,21,V0,home,True,1.0,CHARGE,0.0014,1.69,0.0023
94,22,V0,home,True,1.0,CHARGE,0.0001,1.69,0.0001
95,23,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
96,0,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
97,1,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
98,2,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
99,3,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
100,4,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
101,5,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
102,6,V0,home,True,1.0,IDLE,0.0,0.53,0.0
103,7,V0,home,True,1.0,IDLE,0.0,0.85,0.0
104,8,V0,driving,False,0.94,DRIVING,0.0,0.85,0.0
105,9,V0,work,False,0.94,IDLE,0.0,0.85,0.0
106,10,V0,work,False,0.94,IDLE,0.0,0.85,0.0
107,11,V0,work,False,0.94,IDLE,0.0,0.85,0.0
108,12,V0,work,False,0.94,IDLE,0.0,0.85,0.0
109,13,V0,work,False,0.94,IDLE,0.0,0.85,0.0
110,14,V0,work,False,0.94,IDLE,0.0,0.85,0.0
111,15,V0,work,False,0.94,IDLE,0.0,0.85,0.0
112,16,V0,work,False,0.94,IDLE,0.0,0.85,0.0
113,17,V0,driving,False,0.88,DRIVING,0.0,1.69,0.0
114,18,V0,home,True,0.9908,CHARGE,7.0,1.69,11.83
115,19,V0,home,True,0.9995,CHARGE,0.55,1.69,0.9295
116,20,V0,home,True,1.0,CHARGE,0.0275,1.69,0.0465
117,21,V0,home,True,1.0,CHARGE,0.0014,1.69,0.0023
118,22,V0,home,True,1.0,CHARGE,0.0001,1.69,0.0001
119,23,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
120,0,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
121,1,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
122,2,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
123,3,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
124,4,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
125,5,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
126,6,V0,home,True,1.0,IDLE,0.0,0.53,0.0
127,7,V0,home,True,1.0,IDLE,0.0,0.85,0.0
128,8,V0,driving,False,0.94,DRIVING,0.0,0.85,0.0
129,9,V0,work,False,0.94,IDLE,0.0,0.85,0.0
130,10,V0,work,False,0.94,IDLE,0.0,0.85,0.0
131,11,V0,work,False,0.94,IDLE,0.0,0.85,0.0
132,12,V0,work,False,0.94,IDLE,0.0,0.85,0.0
133,13,V0,work,False,0.94,IDLE,0.0,0.85,0.0
134,14,V0,work,False,0.94,IDLE,0.0,0.85,0.0
135,15,V0,work,False,0.94,IDLE,0.0,0.85,0.0
136,16,V0,work,False,0.94,IDLE,0.0,0.85,0.0
137,17,V0,driving,False,0.88,DRIVING,0.0,1.69,0.0
138,18,V0,home,True,0.9908,CHARGE,7.0,1.69,11.83
139,19,V0,home,True,0.9995,CHARGE,0.55,1.69,0.9295
140,20,V0,home,True,1.0,CHARGE,0.0275,1.69,0.0465
141,21,V0,home,True,1.0,CHARGE,0.0014,1.69,0.0023
142,22,V0,home,True,1.0,CHARGE,0.0001,1.69,0.0001
143,23,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
144,0,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
145,1,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
146,2,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
147,3,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
148,4,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
149,5,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
150,6,V0,home,True,1.0,IDLE,0.0,0.53,0.0
151,7,V0,home,True,1.0,IDLE,0.0,0.85,0.0
152,8,V0,driving,False,0.94,DRIVING,0.0,0.85,0.0
153,9,V0,work,False,0.94,IDLE,0.0,0.85,0.0
154,10,V0,work,False,0.94,IDLE,0.0,0.85,0.0
155,11,V0,work,False,0.94,IDLE,0.0,0.85,0.0
156,12,V0,work,False,0.94,IDLE,0.0,0.85,0.0
157,13,V0,work,False,0.94,IDLE,0.0,0.85,0.0
158,14,V0,work,False,0.94,IDLE,0.0,0.85,0.0
159,15,V0,work,False,0.94,IDLE,0.0,0.85,0.0
160,16,V0,work,False,0.94,IDLE,0.0,0.85,0.0
161,17,V0,driving,False,0.88,DRIVING,0.0,1.69,0.0
162,18,V0,home,True,0.9908,CHARGE,7.0,1.69,11.83
163,19,V0,home,True,0.9995,CHARGE,0.55,1.69,0.9295
164,20,V0,home,True,1.0,CHARGE,0.0275,1.69,0.0465
165,21,V0,home,True,1.0,CHARGE,0.0014,1.69,0.0023
166,22,V0,home,True,1.0,CHARGE,0.0001,1.69,0.0001
167,23,V0,home,True,1.0,CHARGE,0.0,0.53,0.0
