hour,hour_of_day,counterfactual,location,plugged_in,soc,action,energy_kwh,price_per_kwh,cost_currency
0,0,V1G,home,True,0.9108,CHARGE,7.0,0.1,0.7
1,1,V1G,home,True,0.9108,IDLE,0.0,0.1,0.0
2,2,V1G,home,True,0.9108,IDLE,0.0,0.1,0.0
3,3,V1G,home,True,0.9108,IDLE,0.0,0.1,0.0
4,4,V1G,home,True,0.9108,IDLE,0.0,0.1,0.0
5,5,V1G,home,True,0.9108,IDLE,0.0,0.1,0.0
6,6,V1G,home,True,0.9108,IDLE,0.0,0.1,0.0
7,7,V1G,home,True,0.9108,IDLE,0.0,0.2,0.0
8,8,V1G,driving,False,0.8508,DRIVING,0.0,0.2,0.0
9,9,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
10,10,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
11,11,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
12,12,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
13,13,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
14,14,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
15,15,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
16,16,V1G,work,False,0.8508,IDLE,0.0,0.2,0.0
17,17,V1G,driving,False,0.7908,DRIVING,0.0,0.45,0.0
18,18,V1G,home,True,0.7908,IDLE,0.0,0.45,0.0
19,19,V1G,home,True,0.7908,IDLE,0.0,0.45,0.0
20,20,V1G,home,True,0.7908,IDLE,0.0,0.45,0.0
21,21,V1G,home,True,0.7908,IDLE,0.0,0.45,0.0
22,22,V1G,home,True,0.7908,IDLE,0.0,0.45,0.0
23,23,V1G,home,True,0.9017,CHARGE,7.0,0.1,0.7
24,0,V1G,home,True,0.9017,IDLE,0.0,0.1,0.0
25,1,V1G,home,True,0.9017,IDLE,0.0,0.1,0.0
26,2,V1G,home,True,0.9017,IDLE,0.0,0.1,0.0
27,3,V1G,home,True,0.9017,IDLE,0.0,0.1,0.0
28,4,V1G,home,True,0.9017,IDLE,0.0,0.1,0.0
29,5,V1G,home,True,0.9017,IDLE,0.0,0.1,0.0
30,6,V1G,home,True,0.9017,IDLE,0.0,0.1,0.0
31,7,V1G,home,True,0.9017,IDLE,0.0,0.2,0.0
32,8,V1G,driving,False,0.8417,DRIVING,0.0,0.2,0.0
33,9,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
34,10,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
35,11,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
36,12,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
37,13,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
38,14,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
39,15,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
40,16,V1G,work,False,0.8417,IDLE,0.0,0.2,0.0
41,17,V1G,driving,False,0.7817,DRIVING,0.0,0.45,0.0
42,18,V1G,home,True,0.7817,IDLE,0.0,0.45,0.0
43,19,V1G,home,True,0.7817,IDLE,0.0,0.45,0.0
44,20,V1G,home,True,0.7817,IDLE,0.0,0.45,0.0
45,21,V1G,home,True,0.7817,IDLE,0.0,0.45,0.0
46,22,V1G,home,True,0.7817,IDLE,0.0,0.45,0.0
47,23,V1G,home,True,0.8925,CHARGE,7.0,0.1,0.7
48,0,V1G,home,True,0.8925,IDLE,0.0,0.1,0.0
49,1,V1G,home,True,0.8925,IDLE,0.0,0.1,0.0
50,2,V1G,home,True,0.8925,IDLE,0.0,0.1,0.0
51,3,V1G,home,True,0.8925,IDLE,0.0,0.1,0.0
52,4,V1G,home,True,0.8925,IDLE,0.0,0.1,0.0
53,5,V1G,home,True,0.8925,IDLE,0.0,0.1,0.0
54,6,V1G,home,True,0.8925,IDLE,0.0,0.1,0.0
55,7,V1G,home,True,0.8925,IDLE,0.0,0.2,0.0
56,8,V1G,driving,False,0.8325,DRIVING,0.0,0.2,0.0
57,9,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
58,10,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
59,11,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
60,12,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
61,13,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
62,14,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
63,15,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
64,16,V1G,work,False,0.8325,IDLE,0.0,0.2,0.0
65,17,V1G,driving,False,0.7725,DRIVING,0.0,0.45,0.0
66,18,V1G,home,True,0.7725,IDLE,0.0,0.45,0.0
67,19,V1G,home,True,0.7725,IDLE,0.0,0.45,0.0
68,20,V1G,home,True,0.7725,IDLE,0.0,0.45,0.0
69,21,V1G,home,True,0.7725,IDLE,0.0,0.45,0.0
70,22,V1G,home,True,0.7725,IDLE,0.0,0.45,0.0
71,23,V1G,home,True,0.8833,CHARGE,7.0,0.1,0.7
72,0,V1G,home,True,0.9942,CHARGE,7.0,0.1,0.7
73,1,V1G,home,True,0.9942,IDLE,0.0,0.1,0.0
74,2,V1G,home,True,0.9942,IDLE,0.0,0.1,0.0
75,3,V1G,home,True,0.9942,IDLE,0.0,0.1,0.0
76,4,V1G,home,True,0.9942,IDLE,0.0,0.1,0.0
77,5,V1G,home,True,0.9942,IDLE,0.0,0.1,0.0
78,6,V1G,home,True,0.9942,IDLE,0.0,0.1,0.0
79,7,V1G,home,True,0.9942,IDLE,0.0,0.2,0.0
80,8,V1G,driving,False,0.9342,DRIVING,0.0,0.2,0.0
81,9,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
82,10,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
83,11,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
84,12,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
85,13,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
86,14,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
87,15,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
88,16,V1G,work,False,0.9342,IDLE,0.0,0.2,0.0
89,17,V1G,driving,False,0.8742,DRIVING,0.0,0.45,0.0
90,18,V1G,home,True,0.8742,IDLE,0.0,0.45,0.0
91,19,V1G,home,True,0.8742,IDLE,0.0,0.45,0.0
92,20,V1G,home,True,0.8742,IDLE,0.0,0.45,0.0
93,21,V1G,home,True,0.8742,IDLE,0.0,0.45,0.0
94,22,V1G,home,True,0.8742,IDLE,0.0,0.45,0.0
95,23,V1G,home,True,0.985,CHARGE,7.0,0.1,0.7
96,0,V1G,home,True,0.985,IDLE,0.0,0.1,0.0
97,1,V1G,home,True,0.985,IDLE,0.0,0.1,0.0
98,2,V1G,home,True,0.985,IDLE,0.0,0.1,0.0
99,3,V1G,home,True,0.985,IDLE,0.0,0.1,0.0
100,4,V1G,home,True,0.985,IDLE,0.0,0.1,0.0
101,5,V1G,home,True,0.985,IDLE,0.0,0.1,0.0
102,6,V1G,home,True,0.985,IDLE,0.0,0.1,0.0
103,7,V1G,home,True,0.985,IDLE,0.0,0.2,0.0
104,8,V1G,driving,False,0.925,DRIVING,0.0,0.2,0.0
105,9,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
106,10,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
107,11,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
108,12,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
109,13,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
110,14,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
111,15,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
112,16,V1G,work,False,0.925,IDLE,0.0,0.2,0.0
113,17,V1G,driving,False,0.865,DRIVING,0.0,0.45,0.0
114,18,V1G,home,True,0.865,IDLE,0.0,0.45,0.0
115,19,V1G,home,True,0.865,IDLE,0.0,0.45,0.0
116,20,V1G,home,True,0.865,IDLE,0.0,0.45,0.0
117,21,V1G,home,True,0.865,IDLE,0.0,0.45,0.0
118,22,V1G,home,True,0.865,IDLE,0.0,0.45,0.0
119,23,V1G,home,True,0.9758,CHARGE,7.0,0.1,0.7
120,0,V1G,home,True,0.9758,IDLE,0.0,0.1,0.0
121,1,V1G,home,True,0.9758,IDLE,0.0,0.1,0.0
122,2,V1G,home,True,0.9758,IDLE,0.0,0.1,0.0
123,3,V1G,home,True,0.9758,IDLE,0.0,0.1,0.0
124,4,V1G,home,True,0.9758,IDLE,0.0,0.1,0.0
125,5,V1G,home,True,0.9758,IDLE,0.0,0.1,0.0
126,6,V1G,home,True,0.9758,IDLE,0.0,0.1,0.0
127,7,V1G,home,True,0.9758,IDLE,0.0,0.2,0.0
128,8,V1G,driving,False,0.9158,DRIVING,0.0,0.2,0.0
129,9,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
130,10,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
131,11,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
132,12,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
133,13,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
134,14,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
135,15,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
136,16,V1G,work,False,0.9158,IDLE,0.0,0.2,0.0
137,17,V1G,driving,False,0.8558,DRIVING,0.0,0.45,0.0
138,18,V1G,home,True,0.8558,IDLE,0.0,0.45,0.0
139,19,V1G,home,True,0.8558,IDLE,0.0,0.45,0.0
140,20,V1G,home,True,0.8558,IDLE,0.0,0.45,0.0
141,21,V1G,home,True,0.8558,IDLE,0.0,0.45,0.0
142,22,V1G,home,True,0.8558,IDLE,0.0,0.45,0.0
143,23,V1G,home,True,0.9667,CHARGE,7.0,0.1,0.7
144,0,V1G,home,True,0.9667,IDLE,0.0,0.1,0.0
145,1,V1G,home,True,0.9667,IDLE,0.0,0.1,0.0
146,2,V1G,home,True,0.9667,IDLE,0.0,0.1,0.0
147,3,V1G,home,True,0.9667,IDLE,0.0,0.1,0.0
148,4,V1G,home,True,0.9667,IDLE,0.0,0.1,0.0
149,5,V1G,home,True,0.9667,IDLE,0.0,0.1,0.0
150,6,V1G,home,True,0.9667,IDLE,0.0,0.1,0.0
151,7,V1G,home,True,0.9667,IDLE,0.0,0.2,0.0
152,8,V1G,driving,False,0.9067,DRIVING,0.0,0.2,0.0
153,9,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
154,10,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
155,11,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
156,12,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
157,13,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
158,14,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
159,15,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
160,16,V1G,work,False,0.9067,IDLE,0.0,0.2,0.0
161,17,V1G,driving,False,0.8467,DRIVING,0.0,0.45,0.0
162,18,V1G,home,True,0.8467,IDLE,0.0,0.45,0.0
163,19,V1G,home,True,0.8467,IDLE,0.0,0.45,0.0
164,20,V1G,home,True,0.8467,IDLE,0.0,0.45,0.0
165,21,V1G,home,True,0.8467,IDLE,0.0,0.45,0.0
166,22,V1G,home,True,0.8467,IDLE,0.0,0.45,0.0
167,23,V1G,home,True,0.9575,CHARGE,7.0,0.1,0.7
